x,Curve1
354.21,0.02537
363.376,0.03122
373.241,0.04488
380.989,0.05854
386.628,0.06439
390.855,0.07024
395.79,0.07415
402.127,0.0878
407.764,0.09561
414.831,0.08195
421.199,0.06049
427.567,0.03902
438.159,0.02732
450.157,0.02146
460.739,0.02146
472.027,0.02146
482.609,0.02146
492.484,0.02341
504.473,0.02732
512.937,0.02927
520.692,0.03512
528.445,0.04293
535.491,0.05268
539.717,0.06049
545.353,0.07024
550.986,0.08195
555.909,0.09951
560.129,0.11317
565.049,0.13463
568.559,0.15415
573.48,0.17366
576.988,0.19512
579.8,0.20683
583.31,0.22634
587.524,0.2478
591.743,0.26341
595.941,0.30244
598.737,0.33171
601.535,0.35902
602.927,0.38049
605.011,0.41756
607.802,0.45268
609.892,0.48195
610.567,0.51707
613.358,0.5522
614.734,0.59122
617.522,0.63024
619.609,0.66341
623.105,0.69854
626.615,0.71805
632.283,0.69073
634.431,0.65561
636.587,0.61073
638.03,0.57366
640.183,0.53268
643.049,0.48195
643.794,0.43707
645.944,0.4
648.106,0.34732
650.257,0.30829
651.704,0.26732
653.845,0.24
656.004,0.19122
658.855,0.15805
663.133,0.10732
668.802,0.07805
673.056,0.05463
680.83,0.03902
688.599,0.02927
699.186,0.02341
711.179,0.02341
724.584,0.02146
738.694,0.02146
