x,Curve1
351.072,0.04161
357.6,0.04931
367.135,0.04936
374.671,0.06473
381.206,0.08522
387.238,0.10314
393.776,0.12874
398.305,0.15177
406.852,0.17994
413.389,0.20298
418.903,0.19278
422.402,0.16723
424.399,0.14934
426.891,0.11867
431.383,0.07522
435.883,0.04456
443.398,0.02414
450.924,0.02162
456.445,0.02165
463.467,0.01657
469.491,0.01915
475.514,0.02174
484.045,0.02178
491.071,0.02181
500.103,0.02185
510.647,0.03213
517.679,0.04239
524.713,0.05776
532.249,0.07314
541.798,0.09875
546.826,0.11667
550.346,0.12947
558.392,0.16019
562.417,0.17811
565.443,0.20624
571.481,0.2344
575.012,0.26765
581.553,0.29836
586.584,0.3214
590.612,0.34443
596.652,0.3777
602.188,0.40585
606.217,0.43143
610.753,0.46725
613.275,0.49027
618.316,0.53121
622.349,0.56446
626.38,0.59261
632.916,0.61565
639.434,0.60545
642.934,0.58246
645.426,0.55179
648.916,0.51089
651.41,0.48278
652.904,0.46233
655.399,0.43678
657.386,0.40099
658.879,0.37799
660.373,0.35754
661.867,0.33709
663.352,0.3013
664.844,0.27574
667.837,0.24507
668.83,0.22462
670.818,0.19139
673.318,0.17351
676.313,0.1454
678.312,0.13006
679.806,0.10962
682.302,0.08662
686.801,0.05596
691.308,0.03808
695.312,0.0202
698.316,0.00743
702.831,0.00489
