x,Curve1
353.363,0.03305
357.374,0.03305
361.886,0.03305
367.384,0.04322
370.886,0.04831
374.879,0.05847
379.872,0.07119
384.869,0.08136
388.85,0.09915
391.828,0.11695
397.832,0.12458
403.321,0.13983
406.81,0.15254
411.789,0.17288
414.785,0.18051
417.806,0.17288
421.859,0.14746
426.414,0.12203
431.483,0.08898
434.534,0.06356
441.587,0.04322
447.65,0.01525
452.664,0.01525
458.68,0.01525
464.705,0.01017
471.716,0.01525
480.239,0.01525
490.768,0.01525
498.789,0.01525
507.801,0.02288
515.815,0.02797
527.321,0.04322
534.824,0.05339
543.823,0.06864
550.813,0.08644
554.798,0.10169
560.271,0.12712
564.758,0.14237
568.734,0.16271
571.717,0.17797
575.681,0.20593
579.165,0.22119
585.641,0.24661
589.129,0.25932
593.612,0.27712
598.587,0.3
601.57,0.31525
605.534,0.34322
609.511,0.36356
613.475,0.39153
615.944,0.41441
618.412,0.43729
620.388,0.45508
622.865,0.47288
627.339,0.49576
632.837,0.50593
638.369,0.49576
642.418,0.47288
644.454,0.45508
647.011,0.42458
649.557,0.40169
651.103,0.37627
653.147,0.35339
656.193,0.33051
657.243,0.30254
659.282,0.2822
660.315,0.26441
662.354,0.24407
663.378,0.23136
664.921,0.20847
666.459,0.18814
668.507,0.16271
670.542,0.14492
673.588,0.12203
675.628,0.10169
677.162,0.0839
679.188,0.07119
681.738,0.04576
685.264,0.03559
689.318,0.01017
694.854,-0.00254
700.87,-0.00254
706.887,-0.00254
