x,Curve1
"250.45","0.16194"
"251.98","0.15463"
"253.25","0.14628"
"254.77","0.13757"
"256.29","0.13026"
"258.07","0.12295"
"259.85","0.11286"
"261.37","0.10381"
"262.13","0.09789"
"264.67","0.08919"
"266.7","0.08153"
"269.24","0.07839"
"273.05","0.07526"
"277.37","0.077"
"280.42","0.08257"
"283.46","0.0864"
"286.26","0.09162"
"289.05","0.09893"
"292.35","0.10555"
"295.91","0.11495"
"298.7","0.12469"
"301.75","0.13444"
"304.54","0.14454"
"307.33","0.15498"
"309.62","0.16612"
"311.9","0.17587"
"313.93","0.18457"
"315.97","0.19258"
"317.74","0.20337"
"319.01","0.21311"
"320.54","0.21834"
"322.82","0.22843"
"324.6","0.23887"
"325.87","0.24618"
"327.39","0.25837"
"329.17","0.26568"
"331.2","0.27717"
"332.22","0.28622"
"334.25","0.29701"
"336.53","0.3071"
"337.55","0.31616"
"339.07","0.32381"
"340.85","0.33112"
"342.37","0.34122"
"344.66","0.35027"
"347.71","0.35863"
"350.75","0.36245"
"352.53","0.36524"
"355.07","0.36106"
"356.85","0.35688"
"358.62","0.35271"
"360.91","0.34888"
"363.2","0.34052"
"364.97","0.33252"
"366.75","0.32173"
"368.27","0.31511"
"369.8","0.30641"
"370.56","0.29805"
"370.81","0.29005"
"372.08","0.28065"
"373.35","0.27229"
"374.62","0.26255"
"376.4","0.25315"
"377.67","0.24201"
"379.45","0.23226"
"380.72","0.22425"
"382.24","0.21311"
"383.51","0.20197"
"385.29","0.19049"
"386.81","0.17969"
"388.59","0.1703"
"390.11","0.16055"
"392.14","0.1515"
"393.92","0.14001"
"396.71","0.13026"
"398.49","0.12469"
"400.78","0.11634"
"403.57","0.10938"
"406.62","0.10346"
"410.17","0.09824"
"414.74","0.09336"
"418.3","0.08953"
"421.09","0.08501"
"425.92","0.08048"
"429.72","0.07665"
"434.8","0.07178"
"440.64","0.06447"
"445.47","0.06029"
"451.05","0.05542"
"455.88","0.05089"
"462.99","0.04602"
"470.61","0.04219"
"480.51","0.03697"
"489.14","0.03314"
"499.55","0.03001"
"513.77","0.02583"
"525.45","0.02304"
"538.15","0.0213"
"550.34","0.01921"
"564.31","0.01782"
"575.73","0.01678"
"591.22","0.01643"
"598.59","0.01573"
