x,Curve1
252."0.1875"
"256.56","0.18124"
"260.61","0.17567"
"265.17","0.17219"
"265.66","0.16733"
"269.18","0.15135"
"271.2","0.14579"
"274.73","0.13676"
"280.82","0.13536"
"287.95","0.1409"
"291.02","0.152"
"295.61","0.15824"
"300.21","0.16865"
"306.33","0.17628"
"313.44","0.17904"
"322.08","0.17833"
"327.65","0.17276"
"334.25","0.16858"
"341.86","0.1651"
"345.91","0.15953"
"351.99","0.15466"
"356.04","0.15118"
"361.61","0.14422"
"368.19","0.13379"
"373.24","0.12198"
"376.27","0.11572"
"380.32","0.11016"
"385.39","0.10459"
"392.99","0.09833"
"398.05","0.08998"
"405.15","0.08303"
"412.24","0.07676"
"422.89","0.07049"
"433.55","0.06491"
"442.68","0.06142"
"452.83","0.05793"
"461.97","0.05375"
"473.13","0.05095"
"484.3","0.04745"
"493.95","0.04604"
"503.09","0.04325"
"516.79","0.03905"
"526.44","0.03834"
"541.16","0.03553"
"557.41","0.03342"
"567.57","0.03201"
"581.28","0.03129"
"591.44","0.02918"
"599.06","0.02917"
