# Acquisizione Analog Discovery 2
# Timestamp 2024-11-12 10:52:01
# time	ch1	ch2
-4.000000000000000083e-02	1.767546569484315308e-02	-6.449341289866124087e-04
-3.999000000000000471e-02	2.104352730649921774e-02	-6.449341289866124087e-04
-3.998000000000000165e-02	2.205394578999603922e-02	-6.449341289866124087e-04
-3.997000000000000552e-02	2.879006901330816853e-02	-3.066947776331485631e-04
-3.996000000000000246e-02	3.182132446379862256e-02	-6.449341289866124087e-04
-3.995000000000000634e-02	3.114771214146741518e-02	-6.449341289866124087e-04
-3.994000000000000328e-02	3.653661072011711586e-02	-6.449341289866124087e-04
-3.993000000000000022e-02	2.609561972398331819e-02	-6.449341289866124087e-04
-3.992000000000000409e-02	1.969630266183679257e-02	-3.066947776331485631e-04
-3.991000000000000103e-02	2.575881356281771103e-02	-6.449341289866124087e-04
-3.990000000000000491e-02	1.902269033950558172e-02	-6.449341289866124087e-04
-3.989000000000000185e-02	2.306436427349285723e-02	-9.831734803400762543e-04
-3.988000000000000572e-02	3.249493678612984382e-02	-6.449341289866124087e-04
-3.987000000000000266e-02	3.417896759195787615e-02	-9.831734803400762543e-04
-3.986000000000000654e-02	3.721022304244833712e-02	-6.449341289866124087e-04
-3.985000000000000347e-02	4.091509081527000546e-02	-6.449341289866124087e-04
-3.984000000000000041e-02	3.855744768711075188e-02	-6.449341289866124087e-04
-3.983000000000000429e-02	1.801227185600876024e-02	-6.449341289866124087e-04
-3.982000000000000123e-02	3.619980455895151217e-02	-6.449341289866124087e-04
-3.981000000000000510e-02	3.619980455895151217e-02	-6.449341289866124087e-04
-3.980000000000000204e-02	1.329698559969026868e-02	-3.066947776331485631e-04
-3.979000000000000592e-02	3.249493678612984382e-02	-6.449341289866124087e-04
-3.978000000000000286e-02	3.552619223662030479e-02	-6.449341289866124087e-04
-3.976999999999999980e-02	3.013729365797059370e-02	-6.449341289866124087e-04
-3.976000000000000367e-02	2.407478275698967871e-02	-3.066947776331485631e-04
-3.975000000000000061e-02	2.744284436864574336e-02	-6.449341289866124087e-04
